 nlayers, height, LOG10C01, LOG10C02, LOG10T01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  2, 39.42, -1.344307e+00,  1.732830e-01,  1.837701e+00,  5.996891e+03,  4.048236e+03,  2.652667e+03,  1.771300e+03,  1.174982e+03,  7.705191e+02,  4.945516e+02,  3.082001e+02,  1.836301e+02,  1.043567e+02,  5.621425e+01,  2.891054e+01,  1.482949e+01,  7.894788e+00,  4.495543e+00,  2.763887e+00,  1.783658e+00,  1.176302e+00
  2, 39.68, -3.949400e+00,  6.207679e-01,  8.045563e-01,  4.420782e+02,  6.702483e+02,  5.369596e+02,  4.342118e+02,  3.519069e+02,  2.852522e+02,  2.309328e+02,  1.867781e+02,  1.503173e+02,  1.202792e+02,  9.514026e+01,  7.408698e+01,  5.699908e+01,  4.319300e+01,  3.215723e+01,  2.355335e+01,  1.690213e+01,  1.187164e+01
  2, 44.86, -5.693175e-01, -2.889708e+00,  1.298655e+00,  2.656620e+03,  2.240008e+03,  1.694376e+03,  1.309159e+03,  1.027781e+03,  8.222508e+02,  6.635420e+02,  5.315109e+02,  4.150540e+02,  3.133029e+02,  2.261427e+02,  1.548178e+02,  1.009824e+02,  6.251441e+01,  3.660192e+01,  2.036934e+01,  1.072216e+01,  5.342802e+00
  2, 43.99, -8.458749e-01, -3.665703e-01,  1.669842e+00,  3.554442e+03,  2.798220e+03,  2.043329e+03,  1.511207e+03,  1.111572e+03,  8.113914e+02,  5.864360e+02,  4.193914e+02,  2.941376e+02,  2.015682e+02,  1.336480e+02,  8.535630e+01,  5.321424e+01,  3.255443e+01,  1.965359e+01,  1.184323e+01,  7.108778e+00,  4.246468e+00
  2, 31.77, -2.225522e+00, -1.750353e+00,  1.518289e+00,  4.831157e+03,  2.245789e+03,  1.219877e+03,  7.323366e+02,  4.503466e+02,  2.798536e+02,  1.744632e+02,  1.091983e+02,  6.804996e+01,  4.219400e+01,  2.576497e+01,  1.538544e+01,  9.067371e+00,  5.256175e+00,  2.985007e+00,  1.668843e+00,  9.127987e-01,  4.882043e-01
  2, 40.69, -1.514070e+00, -3.192722e+00,  1.629852e+00,  5.467339e+03,  3.559851e+03,  2.311990e+03,  1.559162e+03,  1.047520e+03,  6.879654e+02,  4.370297e+02,  2.690227e+02,  1.596584e+02,  9.159321e+01,  5.033510e+01,  2.631908e+01,  1.327612e+01,  6.456650e+00,  3.019277e+00,  1.371582e+00,  6.022410e-01,  2.562403e-01
  2, 40.85, -1.928551e+00, -1.951087e+00,  1.025758e+00,  4.562085e+03,  2.522295e+03,  1.419684e+03,  8.333008e+02,  4.910833e+02,  2.902415e+02,  1.717174e+02,  1.021308e+02,  6.059854e+01,  3.587554e+01,  2.096834e+01,  1.201124e+01,  6.811991e+00,  3.811644e+00,  2.095075e+00,  1.136966e+00,  6.051504e-01,  3.156834e-01
  2, 48.98, -2.835293e+00,  1.453627e-01,  1.453591e+00,  2.029160e+02,  1.729081e+02,  1.348796e+02,  1.079632e+02,  8.685910e+01,  7.000988e+01,  5.641663e+01,  4.545024e+01,  3.644775e+01,  2.906647e+01,  2.291452e+01,  1.778166e+01,  1.363040e+01,  1.028831e+01,  7.626610e+00,  5.559624e+00,  3.968649e+00,  2.771167e+00
  2, 48.20,  6.473627e-01, -2.110021e+00,  1.131706e+00,  3.258440e+02,  5.400661e+02,  4.310313e+02,  3.466447e+02,  2.789689e+02,  2.240738e+02,  1.792380e+02,  1.426790e+02,  1.123753e+02,  8.736372e+01,  6.663707e+01,  4.997194e+01,  3.762965e+01,  2.900737e+01,  2.313810e+01,  1.896518e+01,  1.556855e+01,  1.250986e+01
  2, 31.89, -3.177917e+00, -1.837619e-01,  1.245615e+00,  1.291490e+03,  1.195647e+03,  9.319457e+02,  7.367739e+02,  5.826149e+02,  4.596652e+02,  3.611831e+02,  2.827130e+02,  2.194003e+02,  1.686308e+02,  1.274730e+02,  9.427651e+01,  6.849454e+01,  4.870466e+01,  3.378616e+01,  2.290679e+01,  1.510427e+01,  9.676117e+00
  2, 39.08,  5.584464e-01, -2.381151e+00,  1.153329e+00,  9.925970e+02,  1.271562e+03,  1.010365e+03,  8.106572e+02,  6.507633e+02,  5.213358e+02,  4.159036e+02,  3.302313e+02,  2.595822e+02,  2.018080e+02,  1.547126e+02,  1.176718e+02,  9.064455e+01,  7.142159e+01,  5.732637e+01,  4.614517e+01,  3.639074e+01,  2.767030e+01
  2, 39.13, -7.914846e-01, -9.220613e-01,  1.867916e+00,  5.015821e+03,  3.915972e+03,  2.844323e+03,  2.091967e+03,  1.529308e+03,  1.108912e+03,  7.964083e+02,  5.674971e+02,  3.991033e+02,  2.769630e+02,  1.881545e+02,  1.244652e+02,  8.081354e+01,  5.138721e+01,  3.191202e+01,  1.941849e+01,  1.150122e+01,  6.616271e+00
  2, 37.00, -1.693573e+00,  2.737905e-01,  1.457905e+00,  5.222397e+03,  2.361549e+03,  9.756795e+02,  4.419363e+02,  2.375317e+02,  1.549970e+02,  1.130990e+02,  8.649013e+01,  6.708361e+01,  5.223923e+01,  4.043958e+01,  3.092992e+01,  2.343797e+01,  1.752676e+01,  1.289224e+01,  9.337800e+00,  6.629124e+00,  4.606911e+00
  2, 33.60, -1.439334e+00, -2.605815e+00,  9.038775e-01,  1.155353e+04,  6.165021e+03,  3.071664e+03,  1.533344e+03,  7.499279e+02,  3.640133e+02,  1.764398e+02,  8.655250e+01,  4.271454e+01,  2.127662e+01,  1.057564e+01,  5.203080e+00,  2.568897e+00,  1.268023e+00,  6.219585e-01,  3.048569e-01,  1.481387e-01,  7.128960e-02
  2, 38.37,  6.485899e-01, -1.450025e+00,  1.310221e+00,  9.166933e+02,  1.247327e+03,  9.964315e+02,  8.039746e+02,  6.498517e+02,  5.250735e+02,  4.234175e+02,  3.408029e+02,  2.725869e+02,  2.163697e+02,  1.692761e+02,  1.297591e+02,  9.761124e+01,  7.169412e+01,  5.136572e+01,  3.631538e+01,  2.568573e+01,  1.847280e+01
  2, 36.87, -2.684048e+00, -3.041468e+00,  8.665845e-01,  1.349831e+03,  4.203680e+02,  1.725521e+02,  8.212921e+01,  4.076184e+01,  2.085383e+01,  1.089873e+01,  5.829300e+00,  3.152425e+00,  1.720591e+00,  9.352592e-01,  5.016849e-01,  2.683963e-01,  1.425926e-01,  7.480068e-02,  3.895122e-02,  1.998095e-02,  1.009534e-02
