 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10C04, LOG10C05, LOG10T01, LOG10T02, LOG10T03, LOG10T04, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  5, 33.33, -2.475823e-01, -4.111005e-01, -3.592001e+00,  6.179539e-01, -8.369672e-01,  1.071409e+00,  1.049514e+00,  1.357585e+00,  1.443261e+00,  5.446628e+03,  4.717171e+03,  3.606351e+03,  2.800066e+03,  2.179150e+03,  1.698788e+03,  1.326947e+03,  1.040518e+03,  8.131605e+02,  6.275401e+02,  4.696142e+02,  3.352134e+02,  2.275010e+02,  1.455446e+02,  8.719288e+01,  4.905658e+01,  2.582705e+01,  1.280906e+01
  5, 33.84, -1.216394e+00, -1.965440e+00, -3.402691e+00, -3.250112e+00, -2.980580e+00,  1.081477e+00,  1.714533e+00,  1.120184e+00,  1.442019e+00,  1.085688e+04,  7.617781e+03,  4.986118e+03,  3.192679e+03,  1.968766e+03,  1.174726e+03,  6.801442e+02,  3.852335e+02,  2.124216e+02,  1.143743e+02,  5.953625e+01,  2.973989e+01,  1.446386e+01,  6.841319e+00,  3.135567e+00,  1.406427e+00,  6.138821e-01,  2.613608e-01
  5, 42.49, -2.414743e+00,  6.854250e-01, -6.434950e-01, -1.152413e+00, -2.334376e+00,  9.509307e-01,  9.855557e-01,  7.780971e-01,  1.718059e+00,  2.414919e+02,  4.064282e+02,  3.212050e+02,  2.560294e+02,  2.040476e+02,  1.620205e+02,  1.277803e+02,  1.000377e+02,  7.755012e+01,  5.999669e+01,  4.682114e+01,  3.747459e+01,  3.117280e+01,  2.664062e+01,  2.287996e+01,  1.937807e+01,  1.594045e+01,  1.262783e+01
  5, 33.48, -3.050389e+00, -3.684340e+00, -3.029107e-01, -2.995447e+00, -2.930671e+00,  1.647738e+00,  1.626230e+00,  9.969297e-01,  1.218680e+00,  5.515157e+02,  8.784815e+01,  4.363165e+01,  3.561804e+01,  3.188113e+01,  2.937651e+01,  2.701726e+01,  2.449295e+01,  2.174579e+01,  1.884389e+01,  1.582307e+01,  1.277829e+01,  9.913392e+00,  7.340144e+00,  5.156346e+00,  3.433956e+00,  2.153360e+00,  1.268562e+00
  5, 41.75, -1.673578e+00,  4.970279e-01,  1.904208e-01, -5.989649e-01, -3.571991e+00,  1.109596e+00,  9.340018e-01,  8.351203e-01,  1.063741e+00,  9.837343e+02,  5.414439e+02,  3.667468e+02,  2.805219e+02,  2.184992e+02,  1.710815e+02,  1.340845e+02,  1.053121e+02,  8.274156e+01,  6.524864e+01,  5.167935e+01,  4.135199e+01,  3.379636e+01,  2.809212e+01,  2.341234e+01,  1.925023e+01,  1.535622e+01,  1.176762e+01
  5, 49.84, -1.936830e+00, -3.046165e+00, -5.173075e-01,  5.870104e-01, -1.629858e+00,  1.945455e+00,  1.901257e+00,  1.368051e+00,  1.157282e+00,  2.847724e+03,  1.677390e+03,  9.946988e+02,  6.149758e+02,  3.837004e+02,  2.388856e+02,  1.457889e+02,  8.644931e+01,  4.914506e+01,  2.676012e+01,  1.380629e+01,  6.700531e+00,  3.109631e+00,  1.379639e+00,  5.814824e-01,  2.344778e-01,  9.050728e-02,  3.583034e-02
  5, 42.71, -2.709097e+00, -2.404901e+00, -2.452059e-01, -2.881991e+00, -3.106265e+00,  1.835055e+00,  7.129136e-01,  1.756334e+00,  1.303716e+00,  1.052969e+03,  2.608712e+02,  8.490671e+01,  4.655367e+01,  3.286797e+01,  2.512621e+01,  1.961903e+01,  1.544540e+01,  1.215190e+01,  9.524270e+00,  7.376055e+00,  5.607067e+00,  4.188722e+00,  3.057710e+00,  2.177668e+00,  1.530503e+00,  1.076600e+00,  7.710869e-01
  5, 37.93, -2.047811e+00, -2.565893e+00, -1.751656e+00, -2.569253e+00, -2.577961e+00,  1.779125e+00,  1.346533e+00,  1.502317e+00,  1.575729e+00,  4.856406e+03,  2.544337e+03,  1.377423e+03,  7.731822e+02,  4.331989e+02,  2.458423e+02,  1.426826e+02,  8.494966e+01,  5.091170e+01,  3.034574e+01,  1.765207e+01,  9.905022e+00,  5.413219e+00,  2.874741e+00,  1.479183e+00,  7.434909e-01,  3.632844e-01,  1.728553e-01
  5, 33.96, -2.057165e+00, -1.204859e+00, -2.184470e+00, -1.132447e+00, -3.924072e+00,  1.371357e+00,  1.402117e+00,  1.918778e+00,  1.921179e+00,  4.298774e+03,  2.271576e+03,  1.439817e+03,  1.020931e+03,  7.456239e+02,  5.412943e+02,  3.820719e+02,  2.605236e+02,  1.703242e+02,  1.068371e+02,  6.376423e+01,  3.602916e+01,  1.958491e+01,  1.033233e+01,  5.374455e+00,  2.848478e+00,  1.560913e+00,  8.845964e-01
  5, 38.35, -2.622296e+00, -3.971304e+00, -2.351434e+00, -1.644165e+00, -3.600813e+00,  9.285686e-01,  1.534654e+00,  1.907954e+00,  1.786609e+00,  1.160072e+03,  4.883296e+02,  2.537650e+02,  1.392889e+02,  7.839158e+01,  4.661131e+01,  2.985509e+01,  2.062261e+01,  1.484263e+01,  1.074101e+01,  7.563125e+00,  5.085863e+00,  3.271329e+00,  2.003930e+00,  1.165169e+00,  6.464298e-01,  3.405268e-01,  1.704491e-01
  5, 36.79, -3.872631e+00, -2.919550e+00, -9.806346e-01, -1.442965e+00, -2.680035e+00,  1.172822e+00,  1.474924e+00,  1.781906e+00,  1.632377e+00,  5.831362e+02,  4.179847e+02,  3.104523e+02,  2.362234e+02,  1.797372e+02,  1.362389e+02,  1.026295e+02,  7.692229e+01,  5.718377e+01,  4.227708e+01,  3.097531e+01,  2.242606e+01,  1.609601e+01,  1.134279e+01,  7.757275e+00,  5.119509e+00,  3.226819e+00,  1.934868e+00
  5, 32.65, -2.949219e+00, -2.981480e+00, -2.790948e+00,  1.822936e-01, -5.454343e-01,  1.362896e+00,  1.303095e+00,  7.365468e-01,  1.251843e+00,  4.350181e+02,  1.506969e+02,  1.087629e+02,  8.576932e+01,  6.813182e+01,  5.421359e+01,  4.306331e+01,  3.411676e+01,  2.684477e+01,  2.102700e+01,  1.641059e+01,  1.283386e+01,  1.016830e+01,  8.140593e+00,  6.526136e+00,  5.190038e+00,  4.041984e+00,  3.056602e+00
  5, 35.24, -2.273228e+00, -3.204000e+00, -5.560532e-01, -2.520391e+00, -9.155032e-01,  1.561295e+00,  1.383184e+00,  1.441534e+00,  1.707828e+00,  3.710654e+03,  1.313359e+03,  4.736363e+02,  2.086016e+02,  1.151886e+02,  7.670216e+01,  5.616025e+01,  4.332868e+01,  3.467067e+01,  2.844999e+01,  2.338068e+01,  1.881024e+01,  1.466122e+01,  1.095908e+01,  7.805671e+00,  5.295705e+00,  3.403599e+00,  2.071624e+00
  5, 48.75,  5.257537e-01, -3.934976e+00, -3.824800e+00,  4.856553e-01, -2.245076e+00,  1.459098e+00,  1.448273e+00,  1.235606e+00,  1.388270e+00,  4.204269e+02,  6.042610e+02,  4.835432e+02,  3.906980e+02,  3.163329e+02,  2.561164e+02,  2.070511e+02,  1.671724e+02,  1.342442e+02,  1.071133e+02,  8.439724e+01,  6.535240e+01,  4.986008e+01,  3.729412e+01,  2.720480e+01,  1.935102e+01,  1.340932e+01,  9.159279e+00
  5, 37.41, -5.737229e-02, -1.284025e+00, -3.440511e+00, -6.261621e-01, -3.588827e+00,  1.047469e+00,  8.288383e-01,  1.215910e+00,  1.545156e+00,  2.930646e+03,  2.734429e+03,  2.124962e+03,  1.683399e+03,  1.355746e+03,  1.117276e+03,  9.372058e+02,  7.885942e+02,  6.530703e+02,  5.264041e+02,  4.082097e+02,  3.019841e+02,  2.136826e+02,  1.441867e+02,  9.268097e+01,  5.713087e+01,  3.373823e+01,  1.914037e+01
  5, 48.87, -2.826115e+00, -2.541221e+00, -1.119304e+00, -7.004570e-01, -2.648381e+00,  9.423832e-01,  1.386561e+00,  1.061210e+00,  1.282944e+00,  7.548362e+02,  4.293256e+02,  2.788978e+02,  1.947574e+02,  1.416270e+02,  1.080953e+02,  8.663151e+01,  7.172924e+01,  5.956249e+01,  4.858467e+01,  3.829063e+01,  2.885562e+01,  2.080691e+01,  1.427878e+01,  9.283078e+00,  5.729017e+00,  3.337655e+00,  1.834577e+00
  5, 30.79,  4.057865e-01, -3.445109e+00, -1.537776e+00, -3.223502e-01, -2.470325e+00,  1.504143e+00,  7.972751e-01,  7.498792e-01,  7.958137e-01,  3.246657e+03,  3.422872e+03,  2.706498e+03,  2.166002e+03,  1.734987e+03,  1.387851e+03,  1.106842e+03,  8.802548e+02,  6.949466e+02,  5.440239e+02,  4.194402e+02,  3.168023e+02,  2.350946e+02,  1.705778e+02,  1.204687e+02,  8.297099e+01,  5.572719e+01,  3.683865e+01
  5, 47.01, -1.933890e-01, -2.506968e+00, -6.037263e-01, -1.433235e-02, -3.710437e+00,  1.562129e+00,  1.769646e+00,  8.347436e-01,  8.209151e-01,  1.509040e+03,  1.424188e+03,  1.109589e+03,  8.752179e+02,  6.897189e+02,  5.416834e+02,  4.231540e+02,  3.288225e+02,  2.528710e+02,  1.922365e+02,  1.436484e+02,  1.054753e+02,  7.707008e+01,  5.622258e+01,  4.077748e+01,  2.915296e+01,  2.018167e+01,  1.337360e+01
