 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10C04, LOG10T01, LOG10T02, LOG10T03, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  4, 31.78, -1.028238e+00, -1.782108e-01, -3.991584e+00, -2.977826e-01,  1.213105e+00,  1.606219e+00,  8.063482e-01,  9.968374e+03,  6.560380e+03,  3.980055e+03,  2.431633e+03,  1.506987e+03,  9.736787e+02,  6.602750e+02,  4.668324e+02,  3.372232e+02,  2.458825e+02,  1.782910e+02,  1.273691e+02,  8.998030e+01,  6.270520e+01,  4.304453e+01,  2.915637e+01,  1.932083e+01,  1.244542e+01
  4, 36.17, -2.787343e+00, -3.090209e+00, -1.099532e-01, -2.467650e+00,  7.365659e-01,  9.880999e-01,  1.792381e+00,  1.042903e+03,  9.834281e+02,  7.690617e+02,  6.104059e+02,  4.849596e+02,  3.846856e+02,  3.041032e+02,  2.396187e+02,  1.873114e+02,  1.450950e+02,  1.106038e+02,  8.252351e+01,  6.047130e+01,  4.332087e+01,  3.020309e+01,  2.051305e+01,  1.353399e+01,  8.730272e+00
  4, 46.73, -8.179296e-01, -2.411417e+00, -3.941589e+00, -7.614338e-01,  1.071970e+00,  1.500771e+00,  1.529428e+00,  3.160179e+03,  2.762436e+03,  2.242347e+03,  1.788773e+03,  1.367951e+03,  9.974719e+02,  6.924103e+02,  4.588445e+02,  2.889512e+02,  1.733286e+02,  9.837584e+01,  5.277132e+01,  2.743173e+01,  1.407882e+01,  7.291464e+00,  3.920620e+00,  2.189484e+00,  1.258348e+00
  4, 49.21,  3.601775e-01, -2.780619e+00, -2.005518e+00,  6.187646e-01,  9.486792e-01,  1.653889e+00,  7.231531e-01,  5.260763e+02,  6.672350e+02,  5.255771e+02,  4.176894e+02,  3.326636e+02,  2.674017e+02,  2.199596e+02,  1.873254e+02,  1.641909e+02,  1.458366e+02,  1.285813e+02,  1.107694e+02,  9.264161e+01,  7.463467e+01,  5.752399e+01,  4.225766e+01,  2.932681e+01,  1.911001e+01
  4, 30.77, -1.214438e+00, -3.446996e+00, -3.211794e+00, -4.160870e-01,  1.752926e+00,  1.090942e+00,  1.195527e+00,  1.168846e+04,  7.767338e+03,  5.023496e+03,  3.312972e+03,  2.174743e+03,  1.424093e+03,  9.313499e+02,  6.081701e+02,  3.904086e+02,  2.439063e+02,  1.458506e+02,  8.270098e+01,  4.511007e+01,  2.385854e+01,  1.240121e+01,  6.519178e+00,  3.512854e+00,  1.957534e+00
  4, 42.19, -6.661363e-01, -1.817723e+00, -2.289985e+00,  6.780422e-01,  1.133005e+00,  1.235994e+00,  1.370552e+00,  3.633334e+03,  3.051100e+03,  2.408350e+03,  1.955193e+03,  1.571787e+03,  1.223970e+03,  9.128100e+02,  6.499688e+02,  4.383758e+02,  2.791967e+02,  1.656932e+02,  9.056263e+01,  4.608173e+01,  2.198031e+01,  1.005292e+01,  4.691240e+00,  2.371061e+00,  1.343241e+00
  4, 36.13, -1.005766e+00, -6.836498e-01, -3.591805e-02,  4.600256e-01,  1.148044e+00,  1.264167e+00,  1.685301e+00,  6.924048e+03,  4.875313e+03,  3.242759e+03,  2.207324e+03,  1.512255e+03,  1.037437e+03,  7.045754e+02,  4.713055e+02,  3.086705e+02,  1.993968e+02,  1.274261e+02,  8.115039e+01,  5.243808e+01,  3.437705e+01,  2.273694e+01,  1.513974e+01,  1.003544e+01,  6.561976e+00
  4, 47.55, -2.737297e-01,  4.180655e-01, -2.355605e+00, -2.283315e+00,  1.498823e+00,  1.962899e+00,  1.608767e+00,  1.604953e+03,  1.482690e+03,  1.153459e+03,  9.090756e+02,  7.162039e+02,  5.628259e+02,  4.405287e+02,  3.436021e+02,  2.656508e+02,  2.028969e+02,  1.512854e+02,  1.088054e+02,  7.539044e+01,  5.000581e+01,  3.169282e+01,  1.937898e+01,  1.149981e+01,  6.715223e+00
  4, 31.99, -4.936907e-01, -2.719611e+00, -2.092724e+00, -2.493026e+00,  1.095911e+00,  1.161061e+00,  1.169354e+00,  7.772091e+03,  6.414814e+03,  4.982908e+03,  4.017170e+03,  3.248941e+03,  2.574463e+03,  1.971518e+03,  1.454385e+03,  1.027819e+03,  6.957618e+02,  4.472893e+02,  2.712031e+02,  1.565476e+02,  8.590192e+01,  4.471959e+01,  2.228071e+01,  1.058343e+01,  4.804856e+00
  4, 47.73, -1.074660e+00, -3.058038e+00, -8.483027e-01, -3.733340e+00,  1.777373e+00,  1.903006e+00,  1.881091e+00,  3.113571e+03,  2.352407e+03,  1.672639e+03,  1.204947e+03,  8.622219e+02,  6.120888e+02,  4.315556e+02,  3.042859e+02,  2.143578e+02,  1.507343e+02,  1.042032e+02,  6.964301e+01,  4.485183e+01,  2.756927e+01,  1.606899e+01,  8.916659e+00,  4.694277e+00,  2.361387e+00
  4, 43.12, -2.696095e+00, -6.179715e-03, -2.898199e+00,  2.876199e-01,  1.219276e+00,  1.007462e+00,  9.492775e-01,  5.338711e+02,  5.207950e+02,  4.098303e+02,  3.307984e+02,  2.724204e+02,  2.288429e+02,  1.938619e+02,  1.631318e+02,  1.342830e+02,  1.073266e+02,  8.250678e+01,  6.059065e+01,  4.272053e+01,  2.893506e+01,  1.891003e+01,  1.208757e+01,  7.607785e+00,  4.756812e+00
  4, 35.40,  2.917519e-01, -7.137037e-01,  2.217297e-01, -2.213589e+00,  8.564980e-01,  1.324309e+00,  8.736330e-01,  2.237812e+03,  2.344868e+03,  1.845114e+03,  1.479691e+03,  1.207746e+03,  1.009504e+03,  8.613367e+02,  7.417922e+02,  6.338839e+02,  5.309563e+02,  4.304022e+02,  3.345339e+02,  2.496163e+02,  1.783558e+02,  1.221051e+02,  8.074513e+01,  5.165330e+01,  3.206125e+01
  4, 37.75, -1.997720e+00,  6.884766e-01, -3.520624e+00, -3.778196e+00,  1.954983e+00,  9.732957e-01,  7.468235e-01,  5.105824e+03,  2.697586e+03,  1.455778e+03,  7.992428e+02,  4.171774e+02,  2.031301e+02,  9.143454e+01,  3.855914e+01,  1.539750e+01,  6.121539e+00,  2.584705e+00,  1.258485e+00,  7.661112e-01,  5.800846e-01,  5.032488e-01,  4.575289e-01,  4.148903e-01,  3.689876e-01
  4, 39.46, -2.820492e+00, -3.133906e+00, -3.782526e+00, -1.126429e+00,  1.073174e+00,  7.618630e-01,  8.757036e-01,  1.365339e+03,  9.800378e+02,  7.071746e+02,  5.203790e+02,  3.816359e+02,  2.781322e+02,  2.010428e+02,  1.443251e+02,  1.023418e+02,  7.165555e+01,  4.913785e+01,  3.281153e+01,  2.148035e+01,  1.374275e+01,  8.565801e+00,  5.221518e+00,  3.096756e+00,  1.786263e+00
  4, 41.97, -1.846022e+00, -3.377181e-01, -5.181842e-01, -3.259346e-01,  8.812897e-01,  1.552683e+00,  1.937295e+00,  1.700609e+03,  1.433735e+03,  1.093107e+03,  8.502706e+02,  6.622418e+02,  5.146951e+02,  3.982232e+02,  3.067384e+02,  2.340291e+02,  1.767310e+02,  1.312687e+02,  9.553299e+01,  6.852296e+01,  4.827633e+01,  3.325940e+01,  2.240021e+01,  1.463879e+01,  9.254419e+00
  4, 42.22, -1.308038e+00,  5.506438e-01, -1.078248e+00, -2.804291e+00,  1.261522e+00,  1.983575e+00,  1.889438e+00,  3.876454e+03,  2.086383e+03,  9.788534e+02,  4.755911e+02,  2.581155e+02,  1.652196e+02,  1.187891e+02,  9.032295e+01,  6.999497e+01,  5.459753e+01,  4.241020e+01,  3.260046e+01,  2.486517e+01,  1.874496e+01,  1.392464e+01,  1.020403e+01,  7.344942e+00,  5.187755e+00
  4, 47.47, -3.506487e+00, -2.481438e+00,  4.549258e-01, -3.747545e+00,  1.956522e+00,  1.283752e+00,  1.645399e+00,  1.118364e+02,  1.389095e+01,  6.863448e+00,  5.291978e+00,  4.200273e+00,  3.365557e+00,  2.709321e+00,  2.188433e+00,  1.765021e+00,  1.419681e+00,  1.132311e+00,  8.921263e-01,  6.968811e-01,  5.382806e-01,  4.102111e-01,  3.086355e-01,  2.278578e-01,  1.639937e-01
  4, 41.91, -2.712683e+00, -1.837142e+00, -3.676588e+00, -3.008748e+00,  1.734643e+00,  1.446045e+00,  1.049902e+00,  1.402441e+03,  6.589893e+02,  4.120409e+02,  2.760541e+02,  1.792745e+02,  1.117873e+02,  6.706421e+01,  3.906898e+01,  2.204932e+01,  1.211767e+01,  6.437037e+00,  3.289437e+00,  1.643828e+00,  8.040180e-01,  3.842304e-01,  1.812860e-01,  8.402070e-02,  3.833177e-02
  4, 45.92, -2.424772e+00, -3.889263e+00, -3.974319e+00, -3.311391e+00,  1.648854e+00,  9.468942e-01,  1.860189e+00,  2.440148e+03,  1.090124e+03,  4.855567e+02,  2.231749e+02,  1.016216e+02,  4.630422e+01,  2.120300e+01,  9.894182e+00,  4.674206e+00,  2.242949e+00,  1.080162e+00,  5.174667e-01,  2.500230e-01,  1.212902e-01,  5.865879e-02,  2.843462e-02,  1.370037e-02,  6.559211e-03
  4, 30.79, -2.422083e+00, -2.500286e+00, -3.482419e+00, -3.490709e+00,  1.683134e+00,  1.691883e+00,  1.235228e+00,  4.324894e+03,  1.816924e+03,  8.649288e+02,  4.426315e+02,  2.256129e+02,  1.138200e+02,  5.669187e+01,  2.811729e+01,  1.378055e+01,  6.693340e+00,  3.185976e+00,  1.474811e+00,  6.753056e-01,  3.057180e-01,  1.362970e-01,  6.047258e-02,  2.654457e-02,  1.157343e-02
  4, 41.51, -6.421225e-01, -2.525435e+00, -8.507931e-01, -7.530359e-01,  7.012005e-01,  1.833126e+00,  1.271232e+00,  6.268796e+03,  5.328408e+03,  4.028260e+03,  2.907752e+03,  1.980308e+03,  1.272654e+03,  7.731343e+02,  4.477650e+02,  2.470246e+02,  1.311572e+02,  6.722710e+01,  3.375375e+01,  1.734623e+01,  9.350616e+00,  5.317436e+00,  3.171785e+00,  1.931992e+00,  1.179283e+00
  4, 39.32, -1.964107e+00,  4.826681e-01, -1.250093e+00, -8.397590e-01,  1.540378e+00,  1.596714e+00,  1.564890e+00,  3.268634e+03,  1.173907e+03,  3.963000e+02,  1.700254e+02,  9.899555e+01,  7.059844e+01,  5.410501e+01,  4.245559e+01,  3.351046e+01,  2.647700e+01,  2.077922e+01,  1.611568e+01,  1.238911e+01,  9.406049e+00,  7.028847e+00,  5.168104e+00,  3.711653e+00,  2.588900e+00
  4, 34.19, -1.567160e+00, -1.294564e+00, -3.393153e-01, -1.017023e+00,  1.964184e+00,  1.321670e+00,  1.025855e+00,  8.365875e+03,  5.066813e+03,  3.053181e+03,  1.894521e+03,  1.173444e+03,  7.246450e+02,  4.448209e+02,  2.714934e+02,  1.626545e+02,  9.508967e+01,  5.350864e+01,  2.892281e+01,  1.549209e+01,  8.462686e+00,  4.835587e+00,  2.926453e+00,  1.830706e+00,  1.151073e+00
  4, 45.41, -2.455174e+00, -2.417317e+00,  1.851484e-01, -3.866370e+00,  1.601178e+00,  1.223390e+00,  1.334066e+00,  1.360960e+03,  3.807310e+02,  1.141851e+02,  5.299000e+01,  3.434577e+01,  2.547379e+01,  1.953256e+01,  1.509106e+01,  1.159425e+01,  8.812186e+00,  6.582209e+00,  4.858849e+00,  3.645624e+00,  2.845316e+00,  2.324200e+00,  1.954721e+00,  1.641997e+00,  1.347569e+00
  4, 36.97, -1.616988e+00,  2.476489e-01, -9.573931e-01, -2.387150e+00,  1.900858e+00,  1.855321e+00,  7.142507e-01,  6.795481e+03,  4.130585e+03,  2.497424e+03,  1.552386e+03,  9.558559e+02,  5.749258e+02,  3.322489e+02,  1.835566e+02,  9.609375e+01,  4.817012e+01,  2.340514e+01,  1.144751e+01,  6.066563e+00,  3.588816e+00,  2.319707e+00,  1.578258e+00,  1.090460e+00,  7.530516e-01
  4, 47.31, -2.290464e+00,  3.278133e-01, -1.273585e+00, -5.164603e-01,  1.991701e+00,  1.340990e+00,  7.990284e-01,  2.418975e+03,  1.187442e+03,  5.791660e+02,  2.765601e+02,  1.218154e+02,  5.012265e+01,  2.010128e+01,  8.740008e+00,  4.539740e+00,  2.858811e+00,  1.996313e+00,  1.429543e+00,  1.021164e+00,  7.223314e-01,  5.116583e-01,  3.715139e-01,  2.793964e-01,  2.170399e-01
  4, 34.47, -4.953746e-01, -3.802899e+00, -1.024909e+00,  1.367156e-01,  9.035411e-01,  1.670238e+00,  1.669378e+00,  6.943724e+03,  6.268676e+03,  5.189556e+03,  4.208180e+03,  3.272409e+03,  2.429070e+03,  1.718763e+03,  1.162638e+03,  7.489695e+02,  4.606829e+02,  2.685906e+02,  1.476643e+02,  7.760085e+01,  3.897040e+01,  1.866967e+01,  8.655735e+00,  3.917012e+00,  1.780905e+00
  4, 47.85, -8.510306e-01, -7.723475e-01, -3.715215e+00, -2.784432e+00,  1.483215e+00,  7.798980e-01,  1.482151e+00,  2.686034e+03,  2.142711e+03,  1.574773e+03,  1.171740e+03,  8.681513e+02,  6.421505e+02,  4.771583e+02,  3.581563e+02,  2.689708e+02,  1.997043e+02,  1.438167e+02,  9.903220e+01,  6.529662e+01,  4.102077e+01,  2.445988e+01,  1.390348e+01,  7.494225e+00,  3.831191e+00
