 nlayers, height, LOG10C01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  1, 44.05, -2.274107e+00,  2.844669e+03,  1.412599e+03,  7.409243e+02,  4.126710e+02,  2.325531e+02,  1.322372e+02,  7.563270e+01,  4.367826e+01,  2.524963e+01,  1.460702e+01,  8.361588e+00,  4.699610e+00,  2.620398e+00,  1.444107e+00,  7.829123e-01,  4.196911e-01,  2.209249e-01,  1.141132e-01
  1, 31.03,  5.790485e-01,  2.413486e+03,  2.792942e+03,  2.221193e+03,  1.786764e+03,  1.439529e+03,  1.159079e+03,  9.312793e+02,  7.468473e+02,  5.952844e+02,  4.711420e+02,  3.679778e+02,  2.823226e+02,  2.135281e+02,  1.586521e+02,  1.154562e+02,  8.239593e+01,  5.739465e+01,  3.897104e+01
  1, 45.09, -2.844860e-01,  1.964517e+03,  1.786950e+03,  1.383225e+03,  1.084311e+03,  8.488707e+02,  6.620854e+02,  5.135764e+02,  3.963625e+02,  3.028693e+02,  2.289053e+02,  1.698802e+02,  1.231258e+02,  8.754698e+01,  6.084654e+01,  4.120332e+01,  2.724762e+01,  1.750929e+01,  1.092449e+01
  1, 34.69, -8.211708e-02,  3.991674e+03,  3.640512e+03,  2.820932e+03,  2.213585e+03,  1.734800e+03,  1.354581e+03,  1.051939e+03,  8.127758e+02,  6.217575e+02,  4.704270e+02,  3.494856e+02,  2.535459e+02,  1.804339e+02,  1.254930e+02,  8.502603e+01,  5.624746e+01,  3.615044e+01,  2.255434e+01
  1, 48.94,  5.276667e-01,  4.117665e+02,  5.946925e+02,  4.760055e+02,  3.847052e+02,  3.115821e+02,  2.523776e+02,  2.041452e+02,  1.649546e+02,  1.326093e+02,  1.059781e+02,  8.370739e+01,  6.507350e+01,  4.996650e+01,  3.777782e+01,  2.805124e+01,  2.048346e+01,  1.464748e+01,  1.024647e+01
  1, 38.85, -2.143602e+00,  4.176058e+03,  2.101269e+03,  1.111160e+03,  6.224642e+02,  3.524588e+02,  2.012284e+02,  1.154904e+02,  6.689357e+01,  3.876960e+01,  2.247883e+01,  1.289344e+01,  7.259812e+00,  4.054378e+00,  2.237541e+00,  1.214606e+00,  6.518381e-01,  3.434711e-01,  1.775689e-01
  1, 35.82, -1.425271e+00,  7.720003e+03,  4.964317e+03,  3.131038e+03,  2.019691e+03,  1.296574e+03,  8.279114e+02,  5.254367e+02,  3.327742e+02,  2.090234e+02,  1.302848e+02,  7.983074e+01,  4.777500e+01,  2.819093e+01,  1.635112e+01,  9.287070e+00,  5.191142e+00,  2.838211e+00,  1.517102e+00
  1, 48.23, -3.805943e+00,  1.456657e+02,  3.626037e+01,  1.413007e+01,  6.580521e+00,  3.213288e+00,  1.622798e+00,  8.391118e-01,  4.448490e-01,  2.387630e-01,  1.294736e-01,  6.997976e-02,  3.734687e-02,  1.989178e-02,  1.052635e-02,  5.502350e-03,  2.856731e-03,  1.461775e-03,  7.375682e-04
  1, 45.66, -3.710935e+00,  1.916812e+02,  4.900969e+01,  1.923250e+01,  8.984168e+00,  4.397154e+00,  2.224804e+00,  1.152166e+00,  6.115953e-01,  3.286193e-01,  1.783679e-01,  9.648633e-02,  5.153119e-02,  2.746438e-02,  1.454199e-02,  7.605341e-03,  3.950279e-03,  2.022070e-03,  1.020469e-03
  1, 45.79, -1.284093e+00,  3.844172e+03,  2.726680e+03,  1.853861e+03,  1.280002e+03,  8.776241e+02,  5.968208e+02,  4.021936e+02,  2.694154e+02,  1.784043e+02,  1.168300e+02,  7.500874e+01,  4.693001e+01,  2.885982e+01,  1.739169e+01,  1.023639e+01,  5.911895e+00,  3.331476e+00,  1.831106e+00
  1, 49.66, -2.450952e+00,  1.848204e+03,  8.873107e+02,  4.557121e+02,  2.500290e+02,  1.391382e+02,  7.827611e+01,  4.435665e+01,  2.541252e+01,  1.458794e+01,  8.387313e+00,  4.774771e+00,  2.670238e+00,  1.482241e+00,  8.136292e-01,  4.395280e-01,  2.348675e-01,  1.232822e-01,  6.351750e-02
