 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10T01, LOG10T02, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  3, 33.70, -2.329763e+00, -1.498034e+00, -8.791196e-01,  1.606685e+00,  1.300187e+00,  3.395344e+03,  1.402656e+03,  6.991639e+02,  3.988178e+02,  2.425018e+02,  1.569448e+02,  1.067709e+02,  7.527279e+01,  5.389274e+01,  3.879787e+01,  2.771085e+01,  1.946335e+01,  1.348689e+01,  9.173107e+00,  6.097642e+00,  3.968787e+00,  2.515185e+00,  1.550251e+00
  3, 41.73, -3.846615e+00, -2.147961e+00, -9.091526e-01,  1.053236e+00,  1.967834e+00,  2.189087e+03,  1.199715e+03,  6.584961e+02,  3.643731e+02,  1.945608e+02,  1.016538e+02,  5.354178e+01,  2.975755e+01,  1.781129e+01,  1.151395e+01,  7.818530e+00,  5.420108e+00,  3.791083e+00,  2.637618e+00,  1.809409e+00,  1.222680e+00,  8.083071e-01,  5.216236e-01
  3, 32.57,  5.850154e-01, -1.775131e+00,  4.000234e-01,  1.136651e+00,  1.381645e+00,  1.960152e+03,  2.329252e+03,  1.848410e+03,  1.482402e+03,  1.189656e+03,  9.529948e+02,  7.605275e+02,  6.044662e+02,  4.761318e+02,  3.715543e+02,  2.865805e+02,  2.196831e+02,  1.702481e+02,  1.339483e+02,  1.061073e+02,  8.332284e+01,  6.352132e+01,  4.638117e+01
  3, 39.75, -2.229028e-01, -3.864938e+00, -1.418720e+00,  1.766225e+00,  1.575520e+00,  2.887815e+03,  2.602333e+03,  2.009861e+03,  1.571912e+03,  1.227408e+03,  9.545295e+02,  7.379730e+02,  5.674235e+02,  4.317269e+02,  3.246749e+02,  2.395090e+02,  1.722758e+02,  1.213139e+02,  8.330548e+01,  5.569400e+01,  3.653078e+01,  2.357357e+01,  1.503600e+01
  3, 31.88, -9.436686e-01, -8.760642e-01,  6.218826e-01,  1.820042e+00,  9.109439e-01,  1.012194e+04,  7.330500e+03,  5.061836e+03,  3.545328e+03,  2.465540e+03,  1.700471e+03,  1.162403e+03,  7.900686e+02,  5.309758e+02,  3.521917e+02,  2.272424e+02,  1.403328e+02,  8.274285e+01,  4.605809e+01,  2.403700e+01,  1.188956e+01,  5.627610e+00,  2.631455e+00
  3, 39.85, -2.764960e-01, -2.721743e+00, -2.487943e+00,  1.216768e+00,  1.575731e+00,  3.007437e+03,  2.669387e+03,  2.048882e+03,  1.595478e+03,  1.250293e+03,  9.942694e+02,  8.058428e+02,  6.616717e+02,  5.402486e+02,  4.320955e+02,  3.333082e+02,  2.453348e+02,  1.725257e+02,  1.153193e+02,  7.294804e+01,  4.378891e+01,  2.480778e+01,  1.326068e+01
  3, 35.08, -1.849405e+00, -3.175064e+00, -2.122769e+00,  1.099759e+00,  1.286058e+00,  6.731988e+03,  3.031975e+03,  1.418072e+03,  7.291816e+02,  3.901359e+02,  2.151073e+02,  1.209268e+02,  6.924304e+01,  3.989574e+01,  2.307684e+01,  1.323398e+01,  7.460549e+00,  4.174973e+00,  2.309852e+00,  1.257259e+00,  6.765993e-01,  3.574976e-01,  1.853250e-01
  3, 35.75, -3.587732e-01, -2.055776e+00, -1.758021e+00,  1.384486e+00,  9.776182e-01,  4.774569e+03,  4.068094e+03,  3.083884e+03,  2.366268e+03,  1.809299e+03,  1.377145e+03,  1.046255e+03,  7.995884e+02,  6.146896e+02,  4.738105e+02,  3.603589e+02,  2.658869e+02,  1.893039e+02,  1.288833e+02,  8.342773e+01,  5.144656e+01,  3.005730e+01,  1.662875e+01
  3, 48.37, -3.766128e-01, -2.035357e+00, -7.571686e-01,  1.824694e+00,  7.467675e-01,  1.682428e+03,  1.513995e+03,  1.168644e+03,  9.135041e+02,  7.129125e+02,  5.541253e+02,  4.282013e+02,  3.291079e+02,  2.503322e+02,  1.882427e+02,  1.388961e+02,  9.998328e+01,  7.052476e+01,  4.857500e+01,  3.260914e+01,  2.145422e+01,  1.381495e+01,  8.716299e+00
  3, 34.90, -2.049515e+00,  1.838988e-01, -1.526793e+00,  1.268886e+00,  1.054506e+00,  1.413229e+03,  7.507503e+02,  5.306904e+02,  4.085171e+02,  3.181046e+02,  2.496660e+02,  1.990100e+02,  1.632724e+02,  1.380734e+02,  1.193060e+02,  1.032385e+02,  8.781084e+01,  7.274663e+01,  5.815949e+01,  4.457161e+01,  3.265879e+01,  2.271575e+01,  1.494023e+01
